# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9887	0.9864	-0.0024	-83.85	-154.78	0.657	0.9766	0.9745	0	0
nik	96	101.0	101.0	-0.0	0.9947	0.9940	-0.0007	-30.46	-31.55	0.990	0.9889	0.9888	0	0
zaur	64	63.6	63.6	-0.0	0.9893	0.9866	-0.0027	-202.82	-123.36	1.510	0.9702	0.9686	0	0
zaur	96	93.4	93.9	-0.5	0.9947	0.9937	-0.0009	-114.74	-125.18	0.940	0.9862	0.9854	0	0
her	64	67.7	67.9	-0.4	0.9835	0.9794	-0.0040	-366.02	-339.00	1.104	0.9480	0.9406	0	0
her	96	101.1	101.5	-0.4	0.9914	0.9902	-0.0012	-206.12	-191.50	1.071	0.9729	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0029	-351.70	-128.39	2.697	0.9721	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9956	0.9948	-0.0008	-301.83	-29.16	4.499	0.9855	0.9804	0	0
dl8a	64	65.7	65.8	-0.2	0.9890	0.9865	-0.0025	-210.46	-378.84	0.511	0.9788	0.9723	0	0
dl8a	96	96.6	96.8	-0.3	0.9943	0.9934	-0.0009	-181.52	-423.47	0.382	0.9882	0.9864	0	0
hein	64	64.7	64.9	-0.3	0.9893	0.9874	-0.0020	-181.35	-388.31	0.430	0.9348	0.9148	0	0
hein	96	86.7	86.9	-0.3	0.9949	0.9930	-0.0018	-77.72	-246.46	0.408	0.9707	0.9499	0	0
